,Category,sub_category,Sales,Quantity,Discount
101,Office Supplies,Binders,1.7879999999999996,3,0.8
102,Office Supplies,Paper,23.92,4,0.0
103,Technology,Accessories,238.89600000000002,6,0.2
104,Furniture,Furnishings,102.35999999999999,3,0.2
105,Office Supplies,Binders,36.882000000000005,3,0.7
106,Technology,Accessories,74.11200000000001,8,0.2
107,Technology,Phones,27.992000000000004,1,0.2
108,Office Supplies,Art,3.3040000000000003,1,0.2
109,Technology,Accessories,339.96000000000004,5,0.2
110,Furniture,Furnishings,41.96,2,0.0
111,Office Supplies,Art,75.96,2,0.0
112,Office Supplies,Binders,27.240000000000002,6,0.0
113,Office Supplies,Fasteners,40.096000000000004,14,0.2
114,Office Supplies,Envelopes,4.720000000000001,2,0.2
115,Office Supplies,Paper,23.976000000000003,3,0.2
116,Office Supplies,Envelopes,130.464,6,0.2
117,Furniture,Tables,787.53,3,0.0
118,Office Supplies,Binders,157.79400000000004,1,0.7
119,Furniture,Furnishings,47.04,3,0.0
120,Office Supplies,Binders,30.84,4,0.0
121,Office Supplies,Storage,226.56,6,0.0
122,Office Supplies,Envelopes,115.02,9,0.0
123,Technology,Phones,68.04,7,0.0
124,Furniture,Chairs,600.558,3,0.3
125,Furniture,Tables,617.7,6,0.5
126,Office Supplies,Binders,2.3880000000000003,2,0.7
127,Office Supplies,Storage,243.99200000000002,7,0.2
128,Furniture,Chairs,81.424,2,0.2
129,Furniture,Furnishings,238.56,3,0.0
130,Technology,Phones,59.96999999999999,5,0.4
131,Office Supplies,Paper,78.304,2,0.2
132,Office Supplies,Fasteners,21.456,9,0.2
133,Office Supplies,Paper,20.04,3,0.0
134,Office Supplies,Paper,35.44,1,0.0
135,Office Supplies,Art,11.52,4,0.0
136,Office Supplies,Fasteners,4.02,2,0.0
137,Office Supplies,Binders,76.176,3,0.2
138,Office Supplies,Supplies,65.88,6,0.0
139,Furniture,Furnishings,43.120000000000005,14,0.0
140,Furniture,Furnishings,82.80000000000001,2,0.2
141,Office Supplies,Art,8.82,3,0.0
142,Office Supplies,Envelopes,10.86,3,0.0
143,Office Supplies,Paper,143.7,3,0.0
144,Office Supplies,Appliances,839.4300000000001,3,0.0
145,Office Supplies,Storage,671.93,7,0.0
146,Furniture,Furnishings,93.888,4,0.2
147,Technology,Phones,384.45000000000005,11,0.0
148,Technology,Phones,149.97,3,0.0
149,Furniture,Chairs,1951.84,8,0.0
150,Office Supplies,Binders,171.55,5,0.0
151,Office Supplies,Appliances,157.92,5,0.2
152,Technology,Phones,203.184,2,0.2
153,Office Supplies,Paper,58.379999999999995,7,0.0
154,Office Supplies,Paper,105.52,4,0.0
155,Office Supplies,Storage,80.88,6,0.0
156,Office Supplies,Art,6.63,3,0.0
157,Furniture,Chairs,457.56800000000004,2,0.2
158,Office Supplies,Labels,14.62,2,0.0
159,Technology,Phones,944.9300000000001,7,0.0
160,Office Supplies,Paper,5.98,1,0.0
161,Technology,Accessories,54.38400000000001,2,0.2
162,Office Supplies,Envelopes,28.4,5,0.0
163,Office Supplies,Binders,27.680000000000003,2,0.2
164,Office Supplies,Art,9.936,3,0.2
165,Technology,Machines,8159.951999999999,8,0.4
166,Office Supplies,Storage,275.928,3,0.2
167,Furniture,Chairs,1740.0599999999997,9,0.3
168,Office Supplies,Art,32.064,6,0.2
169,Office Supplies,Appliances,177.97999999999996,5,0.8
170,Technology,Phones,143.976,3,0.2
171,Office Supplies,Paper,20.94,3,0.0
172,Office Supplies,Paper,110.96,2,0.0
173,Furniture,Chairs,340.14400000000006,7,0.2
174,Office Supplies,Appliances,52.44799999999999,2,0.8
175,Office Supplies,Labels,20.16,4,0.2
176,Office Supplies,Appliances,97.26399999999998,4,0.8
177,Furniture,Chairs,396.802,7,0.3
178,Office Supplies,Supplies,15.88,5,0.2
179,Office Supplies,Art,3.28,1,0.0
180,Office Supplies,Storage,24.816000000000003,2,0.2
181,Technology,Accessories,408.74399999999997,7,0.2
182,Technology,Phones,503.96,4,0.0
183,Technology,Phones,149.95,5,0.0
184,Technology,Accessories,29.0,2,0.0
185,Office Supplies,Binders,7.16,2,0.0
186,Technology,Accessories,176.8,8,0.0
187,Office Supplies,Storage,37.224000000000004,3,0.2
188,Office Supplies,Paper,20.016000000000002,3,0.2
189,Furniture,Bookcases,899.1360000000001,4,0.2
190,Technology,Phones,71.76,6,0.0
191,Office Supplies,Paper,51.84,8,0.0
192,Furniture,Bookcases,626.3520000000001,3,0.2
193,Office Supplies,Art,19.9,5,0.0
194,Office Supplies,Envelopes,14.280000000000001,7,0.0
195,Office Supplies,Art,7.408,2,0.2
196,Office Supplies,Art,6.048,3,0.2
197,Office Supplies,Storage,46.26,3,0.0
198,Office Supplies,Binders,2.9460000000000006,2,0.7
199,Office Supplies,Paper,16.056,3,0.2
200,Office Supplies,Paper,21.744000000000003,3,0.2
201,Furniture,Tables,218.75,2,0.5
202,Office Supplies,Appliances,2.6,1,0.2
203,Office Supplies,Appliances,66.28399999999999,2,0.8
204,Furniture,Furnishings,35.168000000000006,7,0.2
205,Technology,Phones,444.76800000000003,4,0.2
206,Office Supplies,Storage,83.92,4,0.0
207,Technology,Phones,131.98,2,0.0
208,Office Supplies,Binders,15.92,4,0.0
209,Office Supplies,Fasteners,52.29,9,0.0
210,Office Supplies,Storage,91.99,1,0.0
211,Technology,Accessories,20.8,2,0.2
212,Office Supplies,Labels,23.680000000000003,2,0.2
213,Furniture,Bookcases,452.45,5,0.5
214,Technology,Phones,62.982,3,0.4
215,Technology,Machines,1188.0000000000002,9,0.7
216,Technology,Accessories,89.584,2,0.2
217,Office Supplies,Storage,93.06,6,0.0
218,Technology,Phones,302.376,3,0.2
219,Office Supplies,Fasteners,5.5840000000000005,2,0.2
220,Office Supplies,Paper,22.704000000000004,6,0.2
221,Office Supplies,Binders,19.776000000000003,4,0.7
222,Furniture,Furnishings,72.704,4,0.2
223,Technology,Machines,479.98800000000006,4,0.7
224,Office Supplies,Art,27.168000000000003,2,0.2
225,Office Supplies,Art,2.2,1,0.0
226,Furniture,Tables,622.4499999999999,5,0.0
227,Office Supplies,Storage,21.98,1,0.0
228,Furniture,Chairs,161.568,2,0.2
229,Furniture,Chairs,389.696,8,0.2
230,Office Supplies,Binders,18.648000000000003,7,0.7
231,Furniture,Tables,233.86,2,0.45
232,Furniture,Tables,620.6145000000001,3,0.45
233,Office Supplies,Binders,5.328000000000001,2,0.7
234,Furniture,Furnishings,258.072,3,0.2
235,Technology,Accessories,617.9760000000001,3,0.2
236,Office Supplies,Paper,10.56,2,0.0
237,Office Supplies,Paper,25.920000000000005,5,0.2
238,Furniture,Furnishings,419.68000000000006,5,0.6
239,Furniture,Furnishings,11.688,3,0.6
240,Technology,Phones,31.983999999999998,2,0.2
241,Furniture,Tables,177.225,5,0.5
242,Furniture,Furnishings,4.0440000000000005,3,0.6
243,Office Supplies,Art,7.408,2,0.2
244,Furniture,Chairs,2001.8600000000001,7,0.0
245,Office Supplies,Storage,166.72,2,0.0
246,Office Supplies,Paper,47.88,6,0.0
247,Office Supplies,Appliances,1503.25,5,0.0
248,Office Supplies,Paper,25.92,4,0.0
249,Furniture,Chairs,321.568,2,0.2
250,Office Supplies,Paper,7.61,1,0.0
251,Technology,Accessories,3347.37,13,0.0
252,Office Supplies,Storage,80.58,6,0.0
253,Office Supplies,Envelopes,361.92,4,0.0
254,Furniture,Furnishings,12.132000000000001,9,0.6
255,Office Supplies,Storage,82.368,2,0.2
256,Office Supplies,Storage,53.92,5,0.2
257,Technology,Phones,647.904,6,0.2
258,Technology,Accessories,20.37,3,0.0
259,Office Supplies,Storage,221.54999999999998,3,0.0
260,Office Supplies,Binders,17.52,5,0.2
261,Office Supplies,Appliances,1.6239999999999994,2,0.8
262,Technology,Machines,3059.982,3,0.4
263,Technology,Machines,2519.9579999999996,7,0.4
264,Technology,Phones,328.224,4,0.2
265,Technology,Accessories,79.9,2,0.0
266,Office Supplies,Art,14.015999999999998,3,0.2
267,Office Supplies,Fasteners,7.5600000000000005,6,0.0
268,Office Supplies,Storage,37.208,1,0.2
269,Office Supplies,Envelopes,57.576,3,0.2
270,Office Supplies,Storage,725.84,4,0.0
271,Technology,Accessories,209.92999999999998,7,0.0
272,Furniture,Furnishings,5.28,3,0.0
273,Office Supplies,Binders,10.92,3,0.2
274,Office Supplies,Paper,8.82,2,0.0
275,Office Supplies,Art,5.98,1,0.0
276,Office Supplies,Paper,11.648000000000001,2,0.2
277,Office Supplies,Paper,18.176,4,0.2
278,Office Supplies,Storage,59.712,6,0.2
279,Office Supplies,Labels,24.839999999999996,3,0.2
280,Office Supplies,Binders,2.0799999999999996,5,0.8
281,Technology,Phones,1114.4,7,0.2
282,Furniture,Tables,1038.84,5,0.2
283,Office Supplies,Paper,141.76,5,0.2
284,Technology,Accessories,239.80000000000004,5,0.2
285,Office Supplies,Paper,31.104000000000006,6,0.2
286,Office Supplies,Binders,254.05800000000002,7,0.7
287,Office Supplies,Appliances,194.52800000000002,2,0.2
288,Office Supplies,Supplies,961.4800000000001,5,0.2
289,Office Supplies,Fasteners,19.096,7,0.2
290,Office Supplies,Labels,18.496000000000002,8,0.2
291,Technology,Accessories,255.98400000000004,2,0.2
292,Furniture,Bookcases,86.97,3,0.5
293,Furniture,Furnishings,300.416,8,0.2
294,Furniture,Chairs,230.35200000000003,3,0.2
295,Furniture,Furnishings,218.35200000000003,3,0.2
296,Office Supplies,Binders,78.60000000000001,5,0.7
297,Office Supplies,Fasteners,27.552000000000003,3,0.2
298,Office Supplies,Paper,32.400000000000006,5,0.0
299,Office Supplies,Storage,1082.48,8,0.0
300,Office Supplies,Paper,56.91,3,0.0
301,Furniture,Furnishings,77.6,4,0.0
302,Office Supplies,Binders,14.28,1,0.0
303,Furniture,Tables,219.07500000000002,3,0.5
304,Furniture,Furnishings,26.8,2,0.0
305,Office Supplies,Art,9.84,3,0.0
306,Office Supplies,Binders,45.480000000000004,3,0.0
307,Office Supplies,Art,289.20000000000005,6,0.0
308,Office Supplies,Art,4.89,1,0.0
309,Furniture,Furnishings,15.136000000000003,4,0.2
310,Furniture,Chairs,466.76800000000003,2,0.2
311,Furniture,Furnishings,15.232,1,0.2
312,Office Supplies,Labels,6.264,3,0.2
313,Furniture,Furnishings,87.53999999999999,3,0.0
314,Technology,Phones,178.38400000000001,2,0.2
315,Office Supplies,Paper,15.552000000000003,3,0.2
316,Office Supplies,Art,99.13600000000001,4,0.2
317,Furniture,Chairs,135.882,1,0.1
318,Technology,Machines,3991.98,2,0.0
319,Technology,Phones,275.94,6,0.0
320,Technology,Accessories,360.0,4,0.0
321,Office Supplies,Storage,43.57,1,0.0
322,Office Supplies,Fasteners,7.16,2,0.0
323,Office Supplies,Binders,251.52,6,0.2
324,Technology,Accessories,99.99,1,0.0
325,Furniture,Furnishings,15.991999999999999,1,0.2
326,Technology,Phones,290.898,3,0.4
327,Office Supplies,Storage,54.224000000000004,2,0.2
328,Furniture,Chairs,786.744,4,0.3
329,Office Supplies,Labels,100.24000000000001,10,0.2
330,Office Supplies,Binders,37.76400000000001,6,0.7
331,Technology,Phones,82.8,2,0.4
332,Office Supplies,Binders,20.724000000000004,2,0.7
333,Office Supplies,Binders,4.896000000000001,3,0.7
334,Office Supplies,Binders,4.752000000000001,1,0.2
335,Technology,Copiers,959.984,2,0.2
336,Office Supplies,Binders,14.368000000000002,4,0.2
337,Office Supplies,Binders,7.712000000000001,2,0.2
338,Furniture,Tables,698.3520000000001,3,0.2
339,Office Supplies,Fasteners,4.96,4,0.0
340,Office Supplies,Art,17.856,4,0.2
341,Office Supplies,Binders,509.9700000000001,10,0.7
342,Office Supplies,Fasteners,30.991999999999997,13,0.2
343,Technology,Phones,71.928,12,0.4
344,Office Supplies,Storage,88.80000000000001,4,0.2
345,Technology,Phones,47.976,3,0.2
346,Office Supplies,Art,7.5600000000000005,3,0.0
347,Office Supplies,Paper,24.56,2,0.0
348,Office Supplies,Art,12.96,2,0.0
349,Technology,Accessories,6.79,1,0.0
350,Office Supplies,Paper,24.56,2,0.0
351,Office Supplies,Binders,3.048,1,0.2
352,Office Supplies,Paper,49.12,4,0.0
353,Office Supplies,Binders,4355.168000000001,4,0.2
354,Furniture,Bookcases,388.70400000000006,6,0.2
355,Office Supplies,Envelopes,8.26,2,0.0
356,Office Supplies,Art,17.04,4,0.0
357,Office Supplies,Paper,34.4,5,0.0
358,Office Supplies,Paper,36.24000000000001,5,0.2
359,Office Supplies,Appliances,647.84,8,0.0
360,Office Supplies,Labels,20.7,2,0.0
361,Office Supplies,Labels,20.7,2,0.0
362,Furniture,Chairs,488.646,3,0.1
363,Office Supplies,Art,5.56,2,0.0
364,Furniture,Furnishings,47.12,8,0.0
365,Office Supplies,Storage,211.96,4,0.0
366,Office Supplies,Binders,23.2,4,0.0
367,Office Supplies,Supplies,7.36,2,0.0
368,Office Supplies,Storage,104.79,7,0.0
369,Furniture,Bookcases,1043.92,4,0.0
370,Office Supplies,Paper,25.920000000000005,5,0.2
371,Office Supplies,Storage,53.42400000000001,3,0.2
372,Office Supplies,Binders,8.160000000000002,5,0.7
373,Technology,Accessories,1023.9360000000001,8,0.2
374,Office Supplies,Art,9.24,1,0.2
375,Technology,Accessories,479.04,10,0.2
376,Office Supplies,Paper,99.13600000000001,4,0.2
377,Furniture,Tables,1488.4239999999998,7,0.3
378,Office Supplies,Appliances,8.651999999999997,3,0.8
379,Office Supplies,Storage,23.832,3,0.2
380,Office Supplies,Binders,12.175999999999998,4,0.8
381,Office Supplies,Paper,50.96,7,0.0
382,Office Supplies,Binders,49.536,3,0.2
383,Technology,Accessories,41.9,2,0.0
384,Furniture,Tables,375.45750000000004,3,0.45
385,Technology,Accessories,83.97600000000001,3,0.2
386,Technology,Machines,482.34000000000003,4,0.7
387,Furniture,Furnishings,2.9600000000000004,1,0.2
388,Office Supplies,Art,2.624,1,0.2
389,Office Supplies,Binders,23.36,4,0.2
390,Technology,Accessories,39.98,2,0.0
391,Technology,Phones,246.38400000000001,2,0.2
392,Technology,Copiers,1799.97,3,0.0
393,Office Supplies,Binders,12.461999999999996,3,0.8
394,Office Supplies,Binders,75.792,3,0.2
395,Office Supplies,Storage,49.96,2,0.0
396,Office Supplies,Paper,12.96,2,0.0
397,Office Supplies,Supplies,70.12,4,0.0
398,Office Supplies,Storage,35.952000000000005,3,0.2
399,Furniture,Bookcases,2396.2655999999997,4,0.32
400,Office Supplies,Storage,131.136,4,0.2
401,Technology,Accessories,57.584,2,0.2
402,Office Supplies,Paper,9.568000000000001,2,0.2
403,Office Supplies,Art,39.072,6,0.2
404,Office Supplies,Appliances,35.910000000000004,3,0.0
405,Technology,Accessories,179.95000000000002,5,0.0
406,Technology,Copiers,1199.976,3,0.2
407,Office Supplies,Paper,27.15,5,0.0
408,Furniture,Tables,1004.0239999999999,7,0.2
409,Office Supplies,Paper,9.68,1,0.0
410,Office Supplies,Labels,28.349999999999998,9,0.0
411,Office Supplies,Paper,55.98,1,0.0
412,Furniture,Bookcases,1336.829,13,0.15
413,Furniture,Chairs,113.56800000000001,2,0.2
414,Office Supplies,Paper,139.86,7,0.0
415,Furniture,Chairs,307.136,4,0.2
416,Office Supplies,Art,95.92,8,0.0
417,Furniture,Chairs,383.8,5,0.2
418,Office Supplies,Paper,5.78,1,0.0
419,Office Supplies,Art,9.32,4,0.0
420,Office Supplies,Envelopes,15.25,1,0.0
421,Technology,Accessories,196.752,6,0.2
422,Furniture,Furnishings,56.56,4,0.0
423,Office Supplies,Storage,32.7,3,0.0
424,Furniture,Chairs,866.4,4,0.0
425,Furniture,Furnishings,28.4,2,0.0
426,Office Supplies,Binders,287.92,8,0.0
427,Technology,Machines,69.99,1,0.0
428,Office Supplies,Art,6.671999999999999,6,0.2
429,Office Supplies,Binders,189.58800000000005,2,0.7
430,Technology,Accessories,408.74399999999997,7,0.2
431,Technology,Accessories,291.96,5,0.2
432,Office Supplies,Storage,4.768,2,0.2
433,Office Supplies,Storage,714.3000000000001,5,0.0
434,Office Supplies,Binders,4.812,2,0.7
435,Technology,Accessories,247.8,5,0.2
436,Technology,Machines,1007.979,3,0.3
437,Office Supplies,Paper,313.488,7,0.2
438,Office Supplies,Paper,31.872000000000003,8,0.2
439,Furniture,Chairs,207.84600000000003,3,0.1
440,Furniture,Furnishings,12.22,1,0.0
441,Office Supplies,Storage,194.94,3,0.0
442,Office Supplies,Storage,70.94999999999999,3,0.0
443,Office Supplies,Paper,91.36,4,0.0
444,Furniture,Chairs,242.94,3,0.0
445,Office Supplies,Labels,22.05,7,0.0
446,Furniture,Furnishings,2.91,1,0.0
447,Office Supplies,Art,59.519999999999996,3,0.0
448,Office Supplies,Storage,161.94,3,0.0
449,Office Supplies,Art,263.88,6,0.0
450,Office Supplies,Art,30.48,3,0.0
451,Office Supplies,Art,9.84,3,0.0
452,Technology,Phones,35.12,4,0.0
453,Furniture,Tables,284.364,2,0.4
454,Office Supplies,Storage,665.408,2,0.2
455,Technology,Accessories,63.88,4,0.0
456,Furniture,Chairs,129.568,2,0.2
457,Furniture,Chairs,747.558,3,0.3
458,Office Supplies,Envelopes,8.928,2,0.2
459,Office Supplies,Appliances,103.92,4,0.0
460,Technology,Accessories,899.91,9,0.0
461,Office Supplies,Binders,51.312,3,0.2
462,Furniture,Furnishings,23.56,5,0.2
463,Furniture,Tables,1272.6299999999999,6,0.5
464,Office Supplies,Binders,28.485,5,0.7
465,Office Supplies,Supplies,185.376,2,0.2
466,Office Supplies,Appliances,78.272,2,0.2
467,Furniture,Furnishings,254.74400000000003,7,0.6
468,Furniture,Bookcases,205.33279999999996,2,0.32
469,Office Supplies,Binders,4.7879999999999985,3,0.8
470,Office Supplies,Paper,55.48,1,0.0
471,Office Supplies,Storage,340.92,3,0.0
472,Furniture,Bookcases,222.66599999999997,2,0.15
473,Technology,Phones,703.9680000000001,4,0.2
474,Office Supplies,Storage,92.52,6,0.0
475,Office Supplies,Paper,62.64999999999999,7,0.0
476,Office Supplies,Paper,94.85,5,0.0
477,Technology,Phones,95.76,6,0.2
478,Furniture,Furnishings,40.2,3,0.0
479,Office Supplies,Art,14.7,5,0.0
480,Office Supplies,Storage,704.25,5,0.0
481,Technology,Accessories,9.09,3,0.0
482,Office Supplies,Art,5.96,2,0.0
483,Technology,Accessories,159.98,2,0.0
484,Office Supplies,Labels,29.6,2,0.0
485,Furniture,Bookcases,514.165,5,0.15
486,Technology,Phones,279.96,5,0.2
487,Technology,Phones,2735.952,6,0.2
488,Technology,Phones,7.992000000000001,1,0.2
489,Technology,Accessories,63.98400000000001,2,0.2
490,Office Supplies,Art,70.368,2,0.2
491,Office Supplies,Storage,449.15,5,0.0
492,Office Supplies,Envelopes,11.07,3,0.0
493,Technology,Accessories,93.98,2,0.0
494,Furniture,Tables,189.882,3,0.4
495,Office Supplies,Envelopes,105.42,2,0.0
496,Office Supplies,Binders,119.61600000000001,8,0.2
497,Furniture,Furnishings,255.76,4,0.0
498,Furniture,Chairs,241.56799999999998,2,0.2
499,Furniture,Furnishings,69.3,9,0.0
500,Office Supplies,Binders,22.620000000000005,2,0.7
501,Office Supplies,Binders,14.952000000000004,2,0.7
502,Furniture,Chairs,801.5680000000001,2,0.2
503,Office Supplies,Binders,2.3760000000000003,3,0.7
504,Office Supplies,Paper,32.792,1,0.2
505,Office Supplies,Binders,15.920000000000002,5,0.2
506,Office Supplies,Art,2.74,1,0.0
507,Office Supplies,Art,8.34,3,0.0
508,Office Supplies,Storage,46.74,3,0.0
509,Office Supplies,Binders,6354.95,5,0.0
510,Furniture,Furnishings,126.30000000000001,3,0.0
511,Technology,Accessories,38.04,2,0.0
512,Office Supplies,Art,7.151999999999999,3,0.2
513,Office Supplies,Art,6.63,3,0.0
514,Office Supplies,Art,5.88,2,0.0
515,Technology,Copiers,2999.95,5,0.0
516,Office Supplies,Storage,51.449999999999996,3,0.0
517,Office Supplies,Paper,11.96,2,0.0
518,Office Supplies,Storage,1126.02,3,0.0
519,Technology,Accessories,18.392,1,0.2
520,Office Supplies,Storage,129.568,2,0.2
521,Office Supplies,Binders,14.111999999999997,9,0.8
522,Furniture,Tables,210.98,2,0.0
523,Technology,Phones,55.176,3,0.2
524,Technology,Accessories,66.26,2,0.0
525,Office Supplies,Fasteners,22.200000000000003,5,0.0
526,Furniture,Chairs,683.9520000000001,3,0.2
527,Furniture,Furnishings,45.696,3,0.2
528,Office Supplies,Storage,36.336000000000006,3,0.2
529,Office Supplies,Supplies,666.248,1,0.2
530,Office Supplies,Envelopes,52.512,6,0.2
531,Furniture,Chairs,190.72000000000003,1,0.2
532,Furniture,Furnishings,47.94,3,0.0
533,Technology,Phones,979.95,5,0.0
534,Office Supplies,Binders,22.75,5,0.0
535,Office Supplies,Storage,16.768,2,0.2
536,Office Supplies,Binders,42.61599999999999,7,0.8
537,Office Supplies,Binders,10.752,4,0.2
538,Office Supplies,Appliances,152.94,3,0.0
539,Furniture,Chairs,283.92,4,0.0
540,Technology,Accessories,468.90000000000003,6,0.0
541,Technology,Phones,380.86400000000003,8,0.2
542,Office Supplies,Storage,646.7760000000001,9,0.2
543,Technology,Accessories,58.112,2,0.2
544,Technology,Phones,100.792,1,0.2
545,Furniture,Furnishings,66.11200000000001,4,0.6
546,Office Supplies,Binders,41.28,6,0.2
547,Office Supplies,Paper,13.36,2,0.0
548,Office Supplies,Storage,250.272,9,0.2
549,Office Supplies,Binders,11.363999999999997,3,0.8
550,Office Supplies,Supplies,8.72,5,0.2
551,Furniture,Chairs,1121.568,2,0.2
552,Furniture,Furnishings,34.504000000000005,1,0.2
553,Office Supplies,Fasteners,10.824,3,0.2
554,Office Supplies,Storage,1295.78,2,0.0
555,Office Supplies,Art,19.456000000000003,4,0.2
556,Office Supplies,Labels,20.7,2,0.0
557,Furniture,Tables,1335.68,4,0.2
558,Office Supplies,Paper,32.400000000000006,5,0.0
559,Furniture,Furnishings,42.599999999999994,3,0.0
560,Office Supplies,Binders,84.05600000000001,7,0.2
561,Office Supplies,Appliances,13.0,5,0.2
562,Furniture,Furnishings,13.128,3,0.2
563,Office Supplies,Fasteners,3.96,2,0.0
564,Office Supplies,Labels,2.61,1,0.0
565,Technology,Phones,374.37600000000003,3,0.2
566,Office Supplies,Paper,91.84,8,0.0
567,Office Supplies,Binders,81.08800000000001,7,0.2
568,Office Supplies,Paper,19.44,3,0.0
569,Furniture,Chairs,451.15199999999993,3,0.2
570,Office Supplies,Labels,72.45,7,0.0
571,Office Supplies,Fasteners,13.96,4,0.0
572,Office Supplies,Binders,33.264,7,0.2
573,Technology,Phones,14.850000000000001,3,0.0
574,Office Supplies,Art,8.82,3,0.0
575,Office Supplies,Paper,160.72,14,0.0
576,Office Supplies,Paper,19.92,4,0.0
577,Office Supplies,Supplies,7.3,2,0.0
578,Office Supplies,Storage,69.712,2,0.2
579,Furniture,Furnishings,8.792,1,0.6
580,Office Supplies,Supplies,51.52,4,0.0
